rho,d6,d8,d9,d12,d6m,d12m,dm
0.738,0.5022695473895443,0.24613913551121216,0.21916003744451423,0.14368772324612505,0.40536305881430584,0.16617169584646665,0.2857673773303862
0.739,0.5031644730186168,0.24657850238733506,0.2195551279737888,0.14396377276411682,0.40586488757041084,0.1665353301148772,0.28620010884264396
0.74,0.5040638906074895,0.24702018682822344,0.21995233298270997,0.1442414078804916,0.4063690635570504,0.1669009994273863,0.28663503149221836
0.741,0.5049678395162902,0.24746421033891905,0.22035167236809064,0.14452064445620694,0.40687560777217296,0.16726872323941067,0.28707216550579184
0.742,0.5058763596050693,0.24791059471350388,0.2207531662975331,0.1448014985791577,0.4073845414930656,0.16763852127319676,0.28751153138313107
0.743,0.5067894912421675,0.24835936204020365,0.22115683521426258,0.14508398656839222,0.4078958862812804,0.16801041352260485,0.28795314990194265
0.744,0.5077072753127579,0.24881053470660194,0.22156269984206733,0.14536812497842444,0.408409663987671,0.1683844202579991,0.288397042122835
0.745,0.5086297532275649,0.2492641354049706,0.22197078119034813,0.14565393060364484,0.40892589675753777,0.16876056203124662,0.2888432293943922
0.746,0.5095569669317677,0.24972018713771638,0.2223811005592809,0.14594142048283257,0.40944460703588836,0.16913885968082826,0.2892917333583583
0.747,0.5104889589140924,0.250178713222949,0.22279367954509424,0.14623061190377196,0.4099658175728148,0.16951933433706357,0.2897425759549392
0.748,0.5114257722160942,0.25063973730017347,0.2232085400454656,0.14652152240797608,0.41048955142899024,0.1699020074274543,0.2901957794282223
0.749,0.5123674504416386,0.2511032833361083,0.22362570426503928,0.14681416979552034,0.41101583198128955,0.17028690068214822,0.29065136633171884
0.75,0.5133140377665852,0.2515693756306363,0.22404519472107018,0.1471085721299886,0.41154468292853585,0.17067403613952714,0.29110935953403155
0.751,0.5142655789486779,0.2520380388228877,0.22446703424919442,0.147404747743536,0.4120761282973772,0.17106343615192293,0.29156978222465013
0.752,0.5152221193376492,0.2525092978974619,0.2248912460093334,0.14770271524207113,0.4126101924482971,0.17145512339146396,0.29203265791988053
0.753,0.5161837048855423,0.25298317819079075,0.2253178534917323,0.14800249351055997,0.4131469000817613,0.17184912085605603,0.29249801046890866
0.754,0.517150382157257,0.2534597053976467,0.22574688052313838,0.14830410171845743,0.4136862762445057,0.1722454518755024,0.292965864060004
0.755,0.5181221983413267,0.25393890557780036,0.22617835127312183,0.14860755932526723,0.4142283463359691,0.17264414011776483,0.29343624322686696
0.756,0.51909920126093,0.25442080516283205,0.2266122902605442,0.14891288608623582,0.41477313611487465,0.17304520959537154,0.29390917285512297
