p,r6l,r12l,r6m,r12m,r6h,r12h
0.544,0.1848073268239388,0.09609650070636812,0.430898881167086,0.3040167650982898,1.4299803637850852,1.2888886140790239
0.545,0.1848151026497377,0.09610026135591264,0.43102515101467126,0.304100904102268,1.4302272892330874,1.2890739207675181
0.546,0.1848228792799614,0.09610402239060445,0.4311515258571057,0.3041851149727703,1.4304745235135106,1.2892594706783347
0.547,0.1848306567147431,0.09610778381050694,0.4312780058308611,0.3042693978043674,1.4307220672257013,1.289445264296755
0.548,0.18483843495421562,0.09611154561568332,0.43140459107265233,0.3043537526918005,1.4309699209705147,1.2896313021093095
0.549,0.1848462139985122,0.0961153078061969,0.4315312817194369,0.3044381797299789,1.4312180853504473,1.2898175846038553
0.55,0.1848539938477658,0.0961190703821111,0.4316580779084174,0.3045226790139841,1.4314665609695396,1.2900041122695547
0.551,0.1848617745021095,0.09612283334348917,0.43178497977703983,0.30460725063906674,1.4317153484334373,1.2901908855969
0.552,0.18486955596167656,0.0961265966903945,0.43191198746299614,0.30469189470064917,1.4319644483494063,1.2903779050776898
0.553,0.1848773382266002,0.09613036042289047,0.43203910110422333,0.3047766112943248,1.432213861326292,1.2905651712050328
0.554,0.18488512129701345,0.09613412454104049,0.4321663208389052,0.30486140051585914,1.4324635879745973,1.2907526844733974
0.555,0.1848929051730497,0.09613788904490791,0.4322936468054715,0.3049462624611894,1.4327136289063749,1.290940445378561
0.556,0.18490068985484218,0.09614165393455618,0.4324210791426,0.3050311972264258,1.4329639847353457,1.2911284544176644
0.557,0.18490847534252416,0.09614541921004871,0.432548617989216,0.30511620490785124,1.4332146560768566,1.2913167120891644
0.558,0.18491626163622896,0.09614918487144895,0.43267626348449323,0.3052012856019223,1.4334656435478428,1.2915052188928648
0.559,0.18492404873609006,0.0961529509188204,0.4328040157678546,0.3052864394052688,1.4337169477669478,1.291693975329946
0.56,0.18493183664224067,0.0961567173522265,0.43293187497897223,0.30537166641469493,1.433968569354412,1.2918829819029185
0.561,0.18493962535481429,0.09616048417173069,0.43305984125776886,0.3054569667271795,1.4342205089321274,1.29207223911568
0.562,0.18494741487394448,0.09616425137739651,0.43318791474441776,0.3055423404398763,1.434472767123667,1.2922617474734752
0.5630000000000001,0.1849552051997646,0.09616801896928753,0.43331609557934375,0.3056277876501148,1.4347253445542267,1.2924515074829017
0.5640000000000001,0.18496299633240817,0.0961717869474672,0.4334443839032227,0.30571330845539924,1.4349782418507049,1.2926415196519758
0.5650000000000001,0.1849707882720088,0.09617555531199916,0.4335727798569838,0.30579890295341067,1.435231459641649,1.2928317844900523
0.5660000000000001,0.1849785810187,0.09617932406294687,0.4337012835818087,0.30588457124200663,1.4354849985572857,1.293022302507903
0.5670000000000001,0.1849863745726154,0.09618309320037395,0.4338298952191328,0.30597031341922176,1.4357388592295357,1.2932130742176733
0.5680000000000001,0.18499416893388868,0.09618686272434401,0.4339586149106459,0.3060561295832678,1.435993042291998,1.2934041001328753
